rank,txn_id,risk_score,primary_driver,driver_contribution,amount,outcome,actual_typology
91,8785227,0.9996,sender fan-out (30d),5.268,4532.4,True positive,Deposit-Send
92,9186273,0.9996,sender fan-out (30d),5.006,4064.99,True positive,Structuring
93,9342312,0.9996,sender fan-out (30d),4.453,81.17,True positive,Cash_Withdrawal
94,8195986,0.9996,sender fan-out (30d),4.575,12275.48,True positive,Structuring
95,7496479,0.9996,sender fan-out (30d),3.922,106.65,True positive,Cash_Withdrawal
96,7470403,0.9996,sender fan-out (30d),5.209,16401.73,True positive,Deposit-Send
97,9138646,0.9996,sender fan-out (30d),4.31,3024.54,True positive,Structuring
98,9263280,0.9996,beneficiary distinct senders (30d),4.561,199.99,True positive,Cash_Withdrawal
99,8923410,0.9996,sender fan-out (30d),5.898,5825.85,True positive,Structuring
100,9313139,0.9996,sender fan-out (30d),5.24,8264.03,True positive,Structuring
101,8216965,0.9996,beneficiary distinct senders (30d),4.416,3113.9,True positive,Smurfing
102,8329396,0.9996,sender fan-out (30d),4.058,6947.99,True positive,Deposit-Send
103,8335027,0.9996,sender fan-out (30d),5.017,5243.21,True positive,Structuring
104,8322726,0.9996,sender fan-out (30d),4.926,7076.33,True positive,Gather-Scatter
105,8544650,0.9996,sender fan-out (30d),5.096,8253.54,True positive,Layered_Fan_In
106,8626381,0.9996,sender fan-out (30d),4.874,135079.09,True positive,Single_large
107,7240942,0.9996,sender fan-out (30d),4.224,7062.14,True positive,Deposit-Send
108,7136431,0.9996,sender fan-out (30d),4.544,27470.67,True positive,Fan_In
109,8613545,0.9996,sender fan-out (30d),4.557,9276.3,True positive,Structuring
110,9336305,0.9996,beneficiary distinct senders (30d),4.349,1733.49,True positive,Smurfing
111,7469885,0.9996,beneficiary distinct senders (30d),3.766,3200.39,True positive,Smurfing
112,7197242,0.9996,sender fan-out (30d),4.432,3047.29,True positive,Structuring
113,8301251,0.9996,sender fan-out (30d),5.455,4213.06,True positive,Structuring
114,9388638,0.9996,sender fan-out (30d),4.517,8104.99,True positive,Structuring
115,9311332,0.9996,beneficiary distinct senders (30d),4.356,5406.53,True positive,Smurfing
116,8224804,0.9996,sender fan-out (30d),4.276,24638.73,True positive,Layered_Fan_In
117,9290527,0.9996,sender fan-out (30d),5.102,7724.79,True positive,Structuring
118,9327229,0.9996,sender fan-out (30d),5.398,57288.49,True positive,Layered_Fan_In
119,8591913,0.9996,sender fan-out (30d),5.049,7736.12,True positive,Structuring
120,8703557,0.9996,sender fan-out (30d),4.152,3117.19,True positive,Structuring
121,7831930,0.9996,sender fan-out (30d),4.333,11427.72,True positive,Stacked Bipartite
122,9339087,0.9996,sender fan-out (30d),4.427,4977.74,True positive,Gather-Scatter
123,9412960,0.9996,sender fan-out (30d),4.363,10369.57,True positive,Fan_Out
124,7130862,0.9996,sender fan-out (30d),4.228,155695.31,True positive,Single_large
125,7491463,0.9996,sender fan-out (30d),4.58,7052.38,True positive,Structuring
126,7498802,0.9996,sender fan-out (30d),3.977,6520.27,True positive,Stacked Bipartite
127,9152714,0.9996,beneficiary distinct senders (30d),4.456,3092.98,True positive,Smurfing
128,8255722,0.9996,sender fan-out (30d),4.562,31894.84,True positive,Scatter-Gather
129,7293210,0.9996,sender fan-out (30d),5.016,3864.27,True positive,Structuring
130,9006175,0.9996,sender fan-out (30d),4.499,4711.03,True positive,Structuring
131,7462675,0.9996,sender fan-out (30d),4.495,3636.34,True positive,Structuring
132,9027990,0.9996,sender fan-out (30d),4.633,5964.53,True positive,Structuring
133,9434802,0.9996,beneficiary distinct senders (30d),4.37,8872.89,True positive,Stacked Bipartite
134,9274142,0.9996,beneficiary distinct senders (30d),4.573,3491.17,True positive,Smurfing
135,7070375,0.9996,beneficiary distinct senders (30d),4.293,14408.71,True positive,Fan_Out
136,9087198,0.9996,sender fan-out (30d),4.23,3178.93,True positive,Structuring
137,8160585,0.9996,sender fan-out (30d),4.06,14783.45,True positive,Deposit-Send
138,9461570,0.9996,sender fan-out (30d),4.633,6771.86,True positive,Structuring
139,8250490,0.9996,sender fan-out (30d),4.356,8479.3,True positive,Structuring
140,7509239,0.9996,sender fan-out (30d),3.655,2894.01,True positive,Smurfing
141,7746363,0.9996,sender fan-out (30d),4.388,11250.28,True positive,Scatter-Gather
142,7199127,0.9996,beneficiary distinct senders (30d),4.663,4598.22,True positive,Smurfing
143,9385922,0.9996,beneficiary distinct senders (30d),4.529,80.19,True positive,Cash_Withdrawal
144,9271440,0.9996,beneficiary distinct senders (30d),4.505,1309.45,True positive,Deposit-Send
145,8624377,0.9996,sender fan-out (30d),4.884,33254.64,True positive,Cycle
146,8199487,0.9996,sender fan-out (30d),5.009,15652.71,True positive,Deposit-Send
147,8977370,0.9996,beneficiary distinct senders (30d),4.257,50.47,True positive,Cash_Withdrawal
148,8309680,0.9996,sender fan-out (30d),4.12,8845.01,True positive,Layered_Fan_In
149,8104594,0.9996,sender fan-out (30d),4.036,12068.72,True positive,Fan_Out
150,7327678,0.9996,sender fan-out (30d),4.153,5806.08,True positive,Structuring
151,9494131,0.9996,sender fan-out (30d),5.481,14812.72,True positive,Layered_Fan_In
152,9373892,0.9996,sender fan-out (30d),4.582,8440.36,True positive,Structuring
153,7492825,0.9996,sender fan-out (30d),4.054,5930.94,True positive,Fan_Out
154,9353871,0.9996,beneficiary distinct senders (30d),4.514,21.21,True positive,Cash_Withdrawal
155,9158315,0.9996,sender fan-out (30d),4.335,3013.16,True positive,Structuring
156,7648823,0.9996,sender fan-out (30d),5.58,12725.17,True positive,Bipartite
157,8400620,0.9996,sender fan-out (30d),5.226,16931.89,True positive,Gather-Scatter
158,7163296,0.9996,beneficiary distinct senders (30d),4.547,1412.93,True positive,Smurfing
159,7353234,0.9996,sender fan-out (30d),4.481,3177.27,True positive,Structuring
160,9392212,0.9996,sender fan-out (30d),5.008,9475.24,True positive,Stacked Bipartite
161,8385372,0.9996,sender fan-out (30d),5.23,5655.66,True positive,Structuring
162,8533263,0.9996,sender fan-out (30d),4.667,4007.1,True positive,Structuring
163,7084259,0.9996,sender fan-out (30d),4.706,8954.15,True positive,Structuring
164,7404288,0.9996,beneficiary distinct senders (30d),4.609,2132.95,True positive,Smurfing
165,7085905,0.9996,sender fan-out (30d),4.944,26195.52,True positive,Cycle
166,9127146,0.9996,sender fan-out (30d),5.35,4376.57,True positive,Fan_Out
167,7135761,0.9996,beneficiary distinct senders (30d),4.71,5914.87,True positive,Fan_Out
168,7834305,0.9996,sender fan-out (30d),5.222,16405.13,True positive,Layered_Fan_In
169,9261273,0.9996,beneficiary distinct senders (30d),4.548,94.3,True positive,Cash_Withdrawal
170,9164773,0.9996,sender fan-out (30d),4.636,4462.7,True positive,Structuring
171,7407509,0.9996,sender fan-out (30d),4.384,12605.65,True positive,Stacked Bipartite
172,7687910,0.9996,sender fan-out (30d),4.963,10593.9,True positive,Bipartite
173,8805957,0.9996,sender fan-out (30d),5.179,10436.38,True positive,Deposit-Send
174,8194447,0.9996,sender fan-out (30d),5.057,5692.96,True positive,Structuring
175,9434889,0.9996,sender fan-out (30d),4.979,7215.51,True positive,Structuring
176,7433811,0.9996,sender fan-out (30d),4.268,8010.87,True positive,Structuring
177,8015598,0.9996,sender fan-out (30d),4.885,15188.15,True positive,Layered_Fan_In
178,7464126,0.9996,beneficiary distinct senders (30d),4.332,2410.42,True positive,Smurfing
179,7199189,0.9996,sender fan-out (30d),4.511,6577.92,True positive,Fan_In
180,7587635,0.9996,sender fan-out (30d),5.197,9940.15,True positive,Structuring
181,9248140,0.9996,sender fan-out (30d),4.67,4074.73,True positive,Stacked Bipartite
182,9102160,0.9996,sender fan-out (30d),4.273,9065.64,True positive,Gather-Scatter
183,7595538,0.9996,beneficiary distinct senders (30d),4.339,1115.56,True positive,Smurfing
184,8693053,0.9996,sender fan-out (30d),4.914,4546.51,True positive,Cycle
185,9269756,0.9996,sender fan-out (30d),5.038,5654.37,True positive,Structuring
186,7274701,0.9996,sender fan-out (30d),5.448,5770.02,True positive,Layered_Fan_In
187,8777715,0.9996,sender fan-out (30d),4.252,5545.02,True positive,Stacked Bipartite
188,7765114,0.9996,beneficiary distinct senders (30d),4.306,36460.4,True positive,Scatter-Gather
189,8933168,0.9996,sender fan-out (30d),4.215,3244.28,True positive,Scatter-Gather
190,9406419,0.9996,sender fan-out (30d),4.096,6780.61,True positive,Structuring
191,9358084,0.9996,sender fan-out (30d),4.572,7658.37,True positive,Structuring
192,8995916,0.9995,sender fan-out (30d),4.919,6144.23,True positive,Structuring
193,8138454,0.9995,sender fan-out (30d),5.395,8309.64,True positive,Layered_Fan_In
194,7573732,0.9995,sender fan-out (30d),4.572,8252.19,True positive,Structuring
195,7571328,0.9995,sender fan-out (30d),5.131,5511.2,True positive,Gather-Scatter
196,7418277,0.9995,beneficiary distinct senders (30d),4.493,6949.74,True positive,Scatter-Gather
197,7311357,0.9995,sender fan-out (30d),3.796,76.52,True positive,Cash_Withdrawal
198,8060457,0.9995,sender fan-out (30d),4.929,7097.12,True positive,Structuring
199,7545243,0.9995,sender fan-out (30d),5.323,7910.81,True positive,Structuring
200,7433518,0.9995,sender fan-out (30d),4.095,5058.18,True positive,Stacked Bipartite
201,8845344,0.9995,sender fan-out (30d),4.252,14960.0,True positive,Gather-Scatter
202,8504768,0.9995,sender fan-out (30d),4.363,7729.63,True positive,Structuring
203,7852537,0.9995,sender fan-out (30d),5.273,6297.09,True positive,Layered_Fan_In
204,9365921,0.9995,sender fan-out (30d),5.148,15066.3,True positive,Layered_Fan_In
205,9129433,0.9995,sender fan-out (30d),4.658,6029.82,True positive,Structuring
206,7152112,0.9995,sender fan-out (30d),3.317,39838.43,True positive,Cycle
207,8253874,0.9995,sender fan-out (30d),5.455,11285.12,True positive,Layered_Fan_In
208,7122526,0.9995,sender fan-out (30d),4.902,4624.91,True positive,Layered_Fan_Out
209,7317654,0.9995,sender fan-out (30d),3.9,200.37,True positive,Cash_Withdrawal
210,7393015,0.9995,sender fan-out (30d),4.192,3350.73,True positive,Structuring
211,7831795,0.9995,sender fan-out (30d),5.404,4927.36,True positive,Stacked Bipartite
212,7456969,0.9995,sender fan-out (30d),5.442,7549.28,True positive,Structuring
213,7328398,0.9995,sender fan-out (30d),4.75,9398.57,True positive,Deposit-Send
214,8410490,0.9995,sender fan-out (30d),4.133,3399.54,True positive,Structuring
215,8340666,0.9995,beneficiary distinct senders (30d),4.527,2255.02,True positive,Smurfing
216,8104443,0.9995,sender fan-out (30d),4.288,5975.66,True positive,Fan_Out
217,9346109,0.9995,beneficiary distinct senders (30d),4.545,304.13,True positive,Cash_Withdrawal
218,8389013,0.9995,sender fan-out (30d),4.534,3783.55,True positive,Gather-Scatter
219,8702817,0.9995,sender fan-out (30d),5.198,26202.78,True positive,Deposit-Send
220,7706925,0.9995,sender fan-out (30d),3.76,1374.65,True positive,Smurfing
221,7581393,0.9995,sender fan-out (30d),4.958,9064.08,True positive,Gather-Scatter
222,8097998,0.9995,beneficiary distinct senders (30d),4.304,7125.08,True positive,Scatter-Gather
223,8293038,0.9995,sender fan-out (30d),5.561,13933.96,True positive,Stacked Bipartite
224,8099505,0.9995,sender fan-out (30d),4.618,7055.82,True positive,Scatter-Gather
225,8029110,0.9995,sender fan-out (30d),4.725,8110.67,True positive,Layered_Fan_In
226,7126130,0.9995,sender fan-out (30d),4.698,2958.67,True positive,Structuring
227,7531198,0.9995,sender fan-out (30d),4.674,2833.43,True positive,Structuring
228,8037583,0.9995,sender fan-out (30d),4.758,5574.98,True positive,Structuring
229,8402893,0.9995,sender fan-out (30d),4.34,4731.63,True positive,Bipartite
230,8956802,0.9995,sender fan-out (30d),4.694,5163.46,True positive,Fan_In
231,7120646,0.9995,sender fan-out (30d),4.278,5951.93,True positive,Structuring
232,9223666,0.9995,beneficiary distinct senders (30d),4.447,6476.51,True positive,Fan_Out
233,9164364,0.9995,sender fan-out (30d),4.63,6042.7,True positive,Structuring
234,7493879,0.9995,sender fan-out (30d),4.006,138.73,True positive,Cash_Withdrawal
235,9354190,0.9995,beneficiary distinct senders (30d),4.247,3129.85,True positive,Smurfing
236,8638249,0.9995,sender fan-out (30d),5.091,3115.42,True positive,Structuring
237,9277373,0.9995,sender fan-out (30d),4.339,8456.93,True positive,Structuring
238,9242152,0.9995,sender fan-out (30d),4.34,4341.62,True positive,Structuring
239,8723794,0.9995,sender fan-out (30d),4.29,4703.34,True positive,Layered_Fan_Out
240,8381991,0.9995,sender fan-out (30d),4.742,7770.23,True positive,Structuring
241,9452534,0.9995,beneficiary distinct senders (30d),4.111,6613.03,True positive,Fan_Out
242,7612737,0.9995,beneficiary payment count (7d),1.059,125.96,True positive,Cash_Withdrawal
243,9243291,0.9995,sender fan-out (30d),5.219,4974.52,True positive,Fan_In
244,9396348,0.9995,sender fan-out (30d),5.16,5311.49,True positive,Layered_Fan_In
245,8629196,0.9995,beneficiary distinct senders (30d),4.25,7546.26,True positive,Structuring
246,9330015,0.9995,sender fan-out (30d),4.6,3089.37,True positive,Structuring
247,9108149,0.9995,sender fan-out (30d),4.792,4699.96,True positive,Structuring
248,8284352,0.9995,sender fan-out (30d),4.078,6643.79,True positive,Smurfing
249,7489735,0.9995,sender fan-out (30d),4.353,6899.35,True positive,Scatter-Gather
250,8676953,0.9995,sender fan-out (30d),5.055,26820.57,True positive,Cycle
251,8374575,0.9995,sender fan-out (30d),4.621,14942.52,True positive,Deposit-Send
252,7308379,0.9995,sender fan-out (30d),3.91,300.16,True positive,Cash_Withdrawal
253,7380664,0.9995,sender fan-out (30d),5.249,3520.41,True positive,Structuring
254,7374150,0.9995,sender fan-out (30d),5.054,3183.13,True positive,Structuring
255,9498522,0.9995,sender fan-out (30d),3.887,103.7,True positive,Cash_Withdrawal
256,8136518,0.9995,sender fan-out (30d),4.499,3421.69,True positive,Structuring
257,8146974,0.9995,beneficiary distinct senders (30d),4.505,4401.81,True positive,Structuring
258,9363315,0.9995,sender fan-out (30d),4.442,6645.81,True positive,Stacked Bipartite
259,7924275,0.9995,sender fan-out (30d),5.318,15448.0,True positive,Stacked Bipartite
260,7324854,0.9995,sender fan-out (30d),5.294,8554.06,True positive,Stacked Bipartite
261,8669840,0.9995,sender fan-out (30d),4.543,15061.48,True positive,Deposit-Send
262,9231857,0.9995,sender fan-out (30d),4.745,46467.95,True positive,Fan_In
263,9295104,0.9995,beneficiary distinct senders (30d),4.618,223.35,True positive,Cash_Withdrawal
264,7966759,0.9995,beneficiary distinct senders (30d),4.685,7843.83,True positive,Stacked Bipartite
265,9489307,0.9995,sender fan-out (30d),4.749,6378.17,True positive,Layered_Fan_In
266,7981795,0.9995,sender fan-out (30d),4.795,5232.84,True positive,Structuring
267,9405104,0.9995,sender fan-out (30d),4.092,3024.83,True positive,Structuring
268,8138701,0.9995,beneficiary distinct senders (30d),4.329,1208.3,True positive,Smurfing
269,8215267,0.9995,sender fan-out (30d),4.484,6157.85,True positive,Structuring
270,9464650,0.9995,beneficiary payment count (7d),1.433,325.81,True positive,Cash_Withdrawal
271,7596529,0.9995,sender fan-out (30d),4.222,2752.05,True positive,Structuring
272,9012793,0.9995,sender fan-out (30d),4.459,5195.71,True positive,Stacked Bipartite
273,8200476,0.9995,sender fan-out (30d),4.674,6462.84,True positive,Layered_Fan_In
274,7385167,0.9995,sender fan-out (30d),3.989,27.3,True positive,Cash_Withdrawal
275,7858385,0.9995,sender fan-out (30d),4.153,12978.82,True positive,Stacked Bipartite
276,8956644,0.9995,beneficiary distinct senders (30d),4.051,168.74,True positive,Cash_Withdrawal
277,9035347,0.9995,sender fan-out (30d),5.693,191231.33,True positive,Single_large
278,7428702,0.9995,sender fan-out (30d),5.064,7859.03,True positive,Structuring
279,8151926,0.9995,beneficiary distinct senders (30d),4.027,31428.9,True positive,Deposit-Send
280,7526255,0.9995,sender fan-out (30d),3.874,195.04,True positive,Cash_Withdrawal
281,8278847,0.9995,sender fan-out (30d),4.646,5957.82,True positive,Layered_Fan_In
282,7604917,0.9995,sender fan-out (30d),5.224,7305.67,True positive,Structuring
283,9477945,0.9995,sender fan-out (30d),4.357,5715.78,True positive,Stacked Bipartite
284,9495349,0.9995,beneficiary payment count (7d),1.411,102.65,True positive,Cash_Withdrawal
285,8830908,0.9995,sender fan-out (30d),4.693,10422.54,True positive,Gather-Scatter
286,9240104,0.9995,sender fan-out (30d),4.333,4036.91,True positive,Structuring
287,7597917,0.9995,beneficiary payment count (7d),0.993,95.18,True positive,Cash_Withdrawal
288,8158756,0.9995,sender fan-out (30d),5.113,3316.6,True positive,Structuring
289,7270055,0.9995,sender fan-out (30d),4.635,3642.21,True positive,Structuring
290,7096584,0.9995,sender fan-out (30d),4.884,12557.95,True positive,Fan_In
291,8274299,0.9995,sender fan-out (30d),4.488,5253.83,True positive,Structuring
292,7558781,0.9995,sender fan-out (30d),3.893,304.94,True positive,Cash_Withdrawal
293,7312024,0.9995,sender fan-out (30d),4.076,59.79,True positive,Cash_Withdrawal
294,8552910,0.9995,sender fan-out (30d),4.061,53081.56,True positive,Cycle
295,7056149,0.9995,sender fan-out (30d),5.311,10277.67,True positive,Fan_In
296,9222793,0.9995,sender fan-out (30d),4.961,12454.4,True positive,Structuring
297,7256604,0.9995,sender fan-out (30d),4.335,143.15,True positive,Cash_Withdrawal
298,8799323,0.9995,sender fan-out (30d),4.624,4503.28,True positive,Stacked Bipartite
299,7186955,0.9995,sender fan-out (30d),4.31,6468.16,True positive,Fan_In
300,7347621,0.9995,beneficiary distinct senders (30d),4.543,8045.77,True positive,Structuring
301,8312431,0.9995,sender fan-out (30d),4.664,8489.89,True positive,Structuring
302,8462495,0.9995,sender fan-out (30d),4.595,4448.74,True positive,Structuring
303,7964835,0.9995,sender fan-out (30d),5.296,6625.11,True positive,Layered_Fan_In
304,8429418,0.9995,sender fan-out (30d),4.184,4081.47,True positive,Structuring
305,7754995,0.9995,sender fan-out (30d),4.77,136057.32,True positive,Single_large
306,7744035,0.9995,beneficiary distinct senders (30d),4.466,7787.4,True positive,Bipartite
307,7229165,0.9995,sender fan-out (30d),5.85,3383.88,True positive,Structuring
308,8510602,0.9995,beneficiary distinct senders (30d),4.598,2844.41,True positive,Smurfing
309,8605843,0.9995,sender fan-out (30d),4.751,5479.16,True positive,Deposit-Send
310,8122622,0.9995,sender fan-out (30d),5.195,3370.41,True positive,Structuring
311,8626031,0.9995,sender fan-out (30d),4.074,340.63,True positive,Cash_Withdrawal
312,7615629,0.9995,sender fan-out (30d),4.369,8061.32,True positive,Structuring
313,7238320,0.9994,sender fan-out (30d),4.979,8075.59,True positive,Bipartite
314,8330723,0.9994,sender fan-out (30d),4.576,3788.78,True positive,Smurfing
315,7411589,0.9994,sender fan-out (30d),4.959,3636.08,True positive,Structuring
316,7717035,0.9994,sender fan-out (30d),4.876,5141.9,True positive,Layered_Fan_In
317,8460294,0.9994,sender fan-out (30d),4.941,5720.45,True positive,Structuring
318,7499931,0.9994,sender fan-out (30d),3.877,43.29,True positive,Cash_Withdrawal
319,9408878,0.9994,beneficiary distinct senders (30d),4.529,111.73,True positive,Cash_Withdrawal
320,7560341,0.9994,beneficiary distinct senders (30d),3.992,9232.81,True positive,Fan_Out
321,8378110,0.9994,sender fan-out (30d),4.441,5271.07,True positive,Structuring
322,9455394,0.9994,sender fan-out (30d),4.384,19327.02,True positive,Layered_Fan_In
323,8395020,0.9994,sender fan-out (30d),5.557,4358.44,True positive,Bipartite
324,8186125,0.9994,beneficiary distinct senders (30d),4.446,30863.17,True positive,Layered_Fan_In
325,9363720,0.9994,sender fan-out (30d),4.326,94.9,True positive,Cash_Withdrawal
326,9492003,0.9994,sender fan-out (30d),4.689,13190.32,True positive,Layered_Fan_In
327,8340224,0.9994,sender fan-out (30d),3.984,5756.43,True positive,Structuring
328,7461471,0.9994,sender fan-out (30d),4.562,8341.46,True positive,Structuring
329,8131359,0.9994,sender fan-out (30d),4.228,7115.59,True positive,Structuring
330,7659774,0.9994,sender fan-out (30d),4.674,5420.15,True positive,Stacked Bipartite
